,casualties_id,casualties,fatalities,serious_injuries,minor_injuries
0,0c,0.0,0.0,0.0,0.0
16,1c1m,1.0,0.0,0.0,1.0
57,2c2m,2.0,0.0,0.0,2.0
270,1c1s,1.0,0.0,1.0,0.0
573,1c1f,1.0,1.0,0.0,0.0
649,4c4m,4.0,0.0,0.0,4.0
670,2c1s1m,2.0,0.0,1.0,1.0
882,3c1f2s,3.0,1.0,2.0,0.0
889,8c1f7s,8.0,1.0,7.0,0.0
956,3c3m,3.0,0.0,0.0,3.0
1413,2c2s,2.0,0.0,2.0,0.0
1856,4c2s2m,4.0,0.0,2.0,2.0
1928,5c5m,5.0,0.0,0.0,5.0
2513,3c3s,3.0,0.0,3.0,0.0
2730,4c4s,4.0,0.0,4.0,0.0
2787,3c1s2m,3.0,0.0,1.0,2.0
3189,3c1f2m,3.0,1.0,0.0,2.0
4319,2c1f1m,2.0,1.0,0.0,1.0
4350,4c3s1m,4.0,0.0,3.0,1.0
4406,4c1s3m,4.0,0.0,1.0,3.0
4481,4c1f3s,4.0,1.0,3.0,0.0
5049,2c1f1s,2.0,1.0,1.0,0.0
5138,2c2f,2.0,2.0,0.0,0.0
5958,3c2s1m,3.0,0.0,2.0,1.0
6825,5c3s2m,5.0,0.0,3.0,2.0
7060,4c1f1s2m,4.0,1.0,1.0,2.0
7395,3c1f1s1m,3.0,1.0,1.0,1.0
9296,5c4s1m,5.0,0.0,4.0,1.0
10019,6c6m,6.0,0.0,0.0,6.0
10789,5c5s,5.0,0.0,5.0,0.0
12290,5c1f3s1m,5.0,1.0,3.0,1.0
14118,3c3f,3.0,3.0,0.0,0.0
14129,5c2s3m,5.0,0.0,2.0,3.0
17209,5c1f4s,5.0,1.0,4.0,0.0
17995,6c2s4m,6.0,0.0,2.0,4.0
22001,5c1s4m,5.0,0.0,1.0,4.0
22608,5c1f1s3m,5.0,1.0,1.0,3.0
23303,3c2f1m,3.0,2.0,0.0,1.0
23666,7c2s5m,7.0,0.0,2.0,5.0
27145,5c1f4m,5.0,1.0,0.0,4.0
